Datum,Soll,Ist,Bereich,Aufgabe,Arbeitszeitkonto
"Thu, 01. January",-,-,SUW Weststraße,,6.00
,aSK,aSK,SUW Weststraße,16:00 - 22:00 (0) ,
"Fri, 02. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Sat, 03. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Sun, 04. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Mon, 05. January",-,-,SUW Weststraße,,6.00
,aSK,aSK,SUW Weststraße,16:00 - 22:00 (0) ,
,Klost,Klost,SUW Weststraße,,
"Tue, 06. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Wed, 07. January",TM,TM,SUW Weststraße,12:30 - 16:30 (0) ,4.00
,-,-,SUW Weststraße,,
"Thu, 08. January",-,-,SUW Weststraße,,6.00
,aSK,aSK,SUW Weststraße,16:00 - 22:00 (0) ,
,Klost,Klost,SUW Weststraße,,
"Fri, 09. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Sat, 10. January",S1,S1,SUW Weststraße,16:00 - 22:00 (0) ,6.00
,-,-,SUW Weststraße,,
"Sun, 11. January",TX,TX,SUW Weststraße,11:00 - 13:45 (0) Betreuung,5.25
,aW1,aW1,SUW Weststraße,13:45 - 16:15 (0) ,
,West,West,SUW Weststraße,,
"Mon, 12. January",S1,S1,SUW Weststraße,16:00 - 22:00 (0) ,6.00
,-,-,SUW Weststraße,,
"Tue, 13. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Wed, 14. January",TM,TM,SUW Weststraße,12:30 - 16:30 (0) ,4.00
,-,-,SUW Weststraße,,
"Thu, 15. January",S1,S1,SUW Weststraße,16:00 - 22:00 (0) ,8.75
,aW3,aW3,SUW Weststraße,12:30 - 16:00 (45) ,
,Klost,Klost,SUW Weststraße,,
"Fri, 16. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Sat, 17. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Sun, 18. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Mon, 19. January",-,-,SUW Weststraße,,6.00
,aSK,aSK,SUW Weststraße,16:00 - 22:00 (0) ,
,Klost,Klost,SUW Weststraße,,
"Tue, 20. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Wed, 21. January",TX,TX,SUW Weststraße,08:30 - 17:00 (30) Betreuung,8.00
,-,-,SUW Weststraße,,
"Thu, 22. January",aSK,aSK,SUW Weststraße,16:00 - 22:00 (45) ,8.75
,aW3,aW3,SUW Weststraße,12:30 - 16:00 (0) ,
,Klost,Klost,SUW Weststraße,,
"Fri, 23. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Sat, 24. January",S1,S1,SUW Weststraße,16:00 - 22:00 (0) ,6.00
,-,-,SUW Weststraße,,
"Sun, 25. January",aSK,aSK,SUW Weststraße,13:00 - 16:00 (0) ,6.00
,aW1,aW1,SUW Weststraße,10:00 - 13:00 (0) ,
"Mon, 26. January",S1,S1,SUW Weststraße,16:00 - 22:00 (0) ,6.00
,-,-,SUW Weststraße,,
"Tue, 27. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Wed, 28. January",TM,TM,SUW Weststraße,12:30 - 16:30 (0) ,4.00
,-,-,SUW Weststraße,,
"Thu, 29. January",aSK,aSK,SUW Weststraße,16:00 - 22:00 (0) ,8.75
,aW3,aW3,SUW Weststraße,12:30 - 16:00 (45) ,
,Klost,Klost,SUW Weststraße,,
"Fri, 30. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
"Sat, 31. January",-,-,SUW Weststraße,,0.00
,-,-,SUW Weststraße,,
